# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Field_ID","Elevation","Latitude","Longitude","Location","Slope"
"40734","786.0558","-7.389911","-7.5562024","Rural_Akatsi","14.795113"
"30629","674.3341","-7.7368493","-1.0515392","Rural_Sokoto","11.374611"
"39924","826.5339","-9.926617","0.115155995","Rural_Sokoto","11.339692"
"5754","574.94617","-2.4201314","-6.592215","Rural_Kilimani","7.109855"
"14146","886.353","-3.0554342","-7.9526086","Rural_Kilimani","55.007656"
"5304","850.56647","-2.0506647","-7.1327686","Rural_Kilimani","50.45125"
"429","331.35538","-13.409517","-6.722849","Rural_Hawassa","5.907423"
"672","790.73846","-3.7853565","-1.4704683","Rural_Kilimani","15.380596"
"26124","742.7218","-10.237509","-0.7362161","Rural_Sokoto","3.4318435"
"44050","747.3803","-3.7673337","-3.1056433","Rural_Kilimani","8.239554"
"22734","756.9202","-7.538599","-0.57855463","Rural_Sokoto","9.371509"
"16655","393.8345","-12.855317","-8.159821","Rural_Akatsi","36.34067"
"32297","660.6827","-2.6409104","-3.8398955","Rural_Kilimani","8.705346"
"24164","790.90894","-8.8227215","-7.421064","Rural_Akatsi","17.159893"
"26011","618.16815","-8.81371","-0.9389238","Rural_Sokoto","23.239878"
"42538","639.52563","-5.916549","-2.114628","Rural_Hawassa","0.8549503"
"4813","808.43085","-8.561391","-1.9749851","Rural_Sokoto","16.707561"
"37912","454.19534","-10.377186","-7.3534946","Rural_Akatsi","9.985941"
"36614","768.06274","-8.074777","0.48002976","Rural_Sokoto","10.411442"
"34153","610.994","-6.9483533","-2.9660003","Rural_Hawassa","16.369598"
"15118","195.87325","-12.711135","-6.380498","Rural_Hawassa","10.056667"
"41199","654.80963","-6.63746","-2.339859","Rural_Hawassa","13.94029"
"43441","504.42505","-2.3795803","-7.6012487","Rural_Kilimani","3.906222"
"19788","775.58325","-4.920791","-5.245335","Rural_Kilimani","21.290752"
"18871","843.27203","-7.1646266","-7.794947","Rural_Akatsi","11.813544"
"41012","690.64","-8.408197","-4.1957603","Rural_Hawassa","4.2353106"
"1603","525.38104","-2.4651883","-5.186775","Rural_Kilimani","6.8092437"
"33183","792.5747","-3.2762132","-7.3354764","Rural_Kilimani","27.644611"
"314","751.3648","-2.9563088","-0.9434284","Rural_Kilimani","3.2867026"
"32300","445.4456","-9.304831","-6.930061","Rural_Akatsi","5.848148"
"11444","741.3757","-4.6504498","-6.1687813","Rural_Kilimani","7.026868"
"43912","521.39185","-9.277797","-5.407501","Rural_Hawassa","5.194681"
"40248","680.9076","-6.1643624","-7.5111566","Rural_Amanzi","8.412227"
"35014","717.9738","-4.4161534","-2.303822","Rural_Kilimani","4.5158725"
"2593","713.8158","-2.339029","-7.421064","Rural_Kilimani","17.381775"
"26750","891.7427","-1.338765","-1.7857913","Rural_Kilimani","4.546448"
"21090","700.91864","-3.3167644","-4.6462216","Rural_Kilimani","11.447326"
"18533","572.3282","-9.435495","-2.560585","Rural_Hawassa","4.282469"
"17418","550.40393","-7.02495","-1.2182099","Rural_Sokoto","21.226728"
"19062","659.6165","-8.471277","-4.686763","Rural_Hawassa","0.80738175"
"22460","386.93896","-12.057809","-8.997679","Rural_Akatsi","4.1579146"
"37828","751.4212","-7.6151958","-7.763415","Rural_Akatsi","8.986146"
"15949","638.4356","-8.151373","-5.9885964","Rural_Hawassa","2.4603343"
"9036","255.68433","-11.701859","-6.1642766","Rural_Hawassa","22.052572"
"23951","562.1472","-7.9531226","-2.222739","Rural_Sokoto","24.619905"
"25239","779.9252","-10.2284975","0.37642363","Rural_Sokoto","3.3992305"
"43917","805.97516","-4.335051","-0.88486844","Rural_Kilimani","4.799029"
"9806","673.3514","-9.81848","-1.5425421","Rural_Sokoto","8.904864"
"44636","493.53882","-0.31597272","-3.1056433","Rural_Kilimani","8.672898"
"19341","538.19745","-7.3268313","-1.2542468","Rural_Sokoto","12.456426"
"41964","544.6548","-1.1990886","-3.9254832","Rural_Kilimani","9.845885"
"45022","965.42365","-4.4341764","-3.6326833","Rural_Kilimani","7.6869597"
"18614","809.51984","-4.0647097","-1.0335207","Rural_Kilimani","14.039279"
"24239","379.92014","-9.994202","-3.9344923","Rural_Hawassa","5.2726903"
"35122","603.43915","-5.8669868","-1.3037976","Rural_Sokoto","45.649673"
"5186","813.8458","-4.8982625","-5.556154","Rural_Kilimani","29.738115"
"23796","723.12756","-9.660781","-0.5560316","Rural_Sokoto","4.783915"
"6935","410.50626","-10.940397","-8.934614","Rural_Akatsi","4.675606"
"4","792.6537","-3.163571","-2.8353665","Rural_Kilimani","28.081358"
"29767","396.00775","-0.47817767","-4.4254956","Rural_Kilimani","6.379792"
"23109","909.26044","-1.4333847","-1.8623698","Rural_Kilimani","9.121588"
"7680","383.46628","-11.080074","-8.628301","Rural_Akatsi","6.539067"
"37139","717.6414","-2.645416","-3.2002404","Rural_Kilimani","10.938603"
"5396","709.2452","-10.498839","-0.5199946","Rural_Sokoto","1.2624784"
"12123","603.7494","-8.894813","-3.3804247","Rural_Hawassa","4.3008165"
"20386","459.53207","-14.707157","-7.0201535","Rural_Hawassa","2.867474"
"35862","834.7159","-5.1821213","-3.5876372","Rural_Kilimani","18.581152"
"30839","674.2084","-7.817952","-7.2408795","Rural_Akatsi","11.709434"
"6921","747.4178","-8.570403","-1.1506407","Rural_Sokoto","1.3789419"
"2182","344.45914","-11.332393","-6.475095","Rural_Hawassa","21.846682"
"41249","545.2032","-0.40608656","-3.0020373","Rural_Kilimani","10.295476"
"26350","585.1891","-5.452463","0.72327894","Rural_Kilimani","21.96423"
"2004","680.9612","-3.001366","-6.7273536","Rural_Kilimani","31.381239"
"25561","507.23108","-7.1330867","-1.2407329","Rural_Sokoto","10.975426"
"8474","568.6904","-8.55238","-6.560683","Rural_Akatsi","17.172949"
"14703","376.7257","-0.30245563","-4.3444123","Rural_Kilimani","15.336854"
"16213","776.9175","-9.376922","-2.0425544","Rural_Sokoto","10.646531"
"41451","610.9348","-1.2621683","-6.101212","Rural_Kilimani","9.278497"
"18442","567.1401","-5.6191735","-0.8533361","Rural_Kilimani","2.6829624"
"26458","744.86566","-4.348568","-0.45693004","Rural_Kilimani","9.13863"
"35134","826.1083","-2.9157577","-1.5650651","Rural_Kilimani","5.061548"
"17163","683.9345","-14.396264","-6.1462584","Rural_Hawassa","17.144402"
"38092","736.43884","-3.528532","-0.3488193","Rural_Kilimani","2.530983"
"38365","469.52298","-9.232739","-5.5111074","Rural_Hawassa","9.228676"
"8409","595.3719","-9.6112175","-2.5380619","Rural_Hawassa","2.0598238"
"41801","737.3999","-2.6364048","-2.6101358","Rural_Kilimani","0.5008781"
"23715","631.03644","-5.749839","-0.15512086","Rural_Sokoto","4.558887"
"39738","497.6068","-14.022291","-6.7363625","Rural_Hawassa","7.9985347"
"44373","764.42444","-4.159329","-1.2947884","Rural_Kilimani","16.099163"
"16313","718.968","-8.646999","-0.0064685927","Rural_Sokoto","12.725033"
"1570","672.494","-7.182649","-6.1687813","Rural_Hawassa","34.655468"
"19224","636.7583","-7.0925355","-2.7407696","Rural_Hawassa","5.922931"
"7613","680.74854","-7.0159388","-0.17313933","Rural_Sokoto","17.115238"
"38394","378.82364","-12.508379","-8.385052","Rural_Akatsi","13.30753"
"18874","686.1873","-8.4893","1.2277957","Rural_Sokoto","7.4993587"
"20544","459.43204","-9.43099","-5.7994027","Rural_Hawassa","13.164362"
"646","758.08466","-10.11135","-1.123613","Rural_Sokoto","31.378008"
"21775","701.20154","-9.358899","-0.61909616","Rural_Sokoto","7.184972"
"27620","388.1572","-9.872548","-6.9120426","Rural_Akatsi","5.3030796"
"44208","643.1573","-10.476311","-1.321816","Rural_Sokoto","22.550077"
"3189","711.88837","-7.601679","-4.024585","Rural_Hawassa","1.7127155"
"31578","369.78412","-11.21975","-8.722898","Rural_Akatsi","24.896206"
"1388","585.7511","-7.2232003","-2.0785913","Rural_Sokoto","4.52347"
"18600","463.17465","-12.621021","-8.880559","Rural_Akatsi","1.3305372"
"18577","798.289","-1.1224918","-1.7227267","Rural_Kilimani","3.3962333"
"40234","598.0178","-1.987585","-4.66424","Rural_Kilimani","19.143837"
"3861","628.43207","-9.872548","-5.213803","Rural_Hawassa","16.149405"
"10708","491.91196","-1.0909519","-3.866923","Rural_Kilimani","19.73039"
"25434","769.1642","-8.218959","-0.35782853","Rural_Sokoto","19.388521"
"4336","339.7252","-6.335579","-1.6686714","Rural_Hawassa","21.680336"
"41928","796.3508","-7.8675146","-1.1416315","Rural_Sokoto","4.876115"
"1644","795.21094","-4.23142","-5.740843","Rural_Kilimani","10.080604"
"44390","597.09717","-9.282302","-7.7769284","Rural_Akatsi","8.757406"
